t_s,imu_roll_deg,imu_pitch_deg,motor_roll_pos_deg,motor_pitch_pos_deg
7.300,12.2240,45.3750,-2.86,-965.71
7.320,12.2240,45.3750,-5.71,-960.00
7.340,11.9618,44.9887,-5.71,-954.29
7.360,11.9618,44.9887,-5.71,-951.43
7.380,11.9618,44.9887,-8.57,-945.71
7.400,11.7072,44.6108,-8.57,-942.86
7.420,11.7072,44.6108,-8.57,-937.14
7.440,11.5176,44.2816,-8.57,-934.29
7.460,11.5176,44.2816,-11.43,-931.43
7.480,11.5176,44.2816,-11.43,-928.57
7.500,11.3643,43.9430,-11.43,-925.71
7.520,11.3643,43.9430,-11.43,-920.00
7.540,11.2279,43.5917,-11.43,-917.14
7.560,11.2279,43.5917,-11.43,-914.29
7.580,11.2279,43.5917,-11.43,-908.57
7.600,11.1454,43.2639,-11.43,-905.71
7.620,11.1454,43.2639,-11.43,-900.00
7.640,11.0544,42.8696,-11.43,-897.14
7.660,11.0544,42.8696,-11.43,-894.29
7.680,11.0544,42.8696,-11.43,-891.43
7.700,10.9806,42.4753,-11.43,-885.71
7.720,10.9806,42.4753,-11.43,-880.00
7.740,10.8702,42.0515,-11.43,-877.14
7.760,10.8702,42.0515,-11.43,-871.43
7.780,10.8702,42.0515,-11.43,-865.71
7.800,10.7529,41.6181,-11.43,-862.86
7.820,10.7529,41.6181,-11.43,-857.14
7.840,10.6513,41.1871,-11.43,-851.43
7.860,10.6513,41.1871,-11.43,-848.57
7.880,10.6513,41.1871,-11.43,-842.86
7.900,10.5739,40.7633,-11.43,-840.00
7.920,10.5739,40.7633,-11.43,-834.29
7.940,10.4902,40.3605,-11.43,-831.43
7.960,10.4902,40.3605,-11.43,-825.71
7.980,10.4902,40.3605,-11.43,-822.86
8.000,10.4050,39.9600,-11.43,-817.14
8.020,10.4050,39.9600,-11.43,-814.29
8.040,10.3374,39.5984,-11.43,-811.43
8.060,10.3374,39.5984,-11.43,-805.71
8.080,10.3374,39.5984,-11.43,-802.86
8.100,10.2555,39.2358,-11.43,-800.00
8.120,10.2555,39.2358,-11.43,-794.29
8.140,10.2090,38.9481,-11.43,-794.29
8.160,10.2090,38.9481,-11.43,-791.43
8.180,10.2090,38.9481,-11.43,-788.57
8.200,10.2858,38.9060,-11.43,-785.71
8.220,10.2858,38.9060,-11.43,-782.86
8.240,10.2975,38.7746,-11.43,-780.00
8.260,10.2975,38.7746,-11.43,-777.14
8.280,10.2975,38.7746,-11.43,-774.29
8.300,10.2858,38.6169,-11.43,-774.29
8.320,10.2858,38.6169,-11.43,-771.43
8.340,10.2805,38.4828,-11.43,-771.43
8.360,10.2805,38.4828,-11.43,-768.57
8.380,10.2805,38.4828,-11.43,-765.71
8.400,10.2626,38.3734,-11.43,-765.71
8.420,10.2626,38.3734,-11.43,-765.71
8.440,10.2853,38.3449,-11.43,-765.71
8.460,10.2853,38.3449,-11.43,-765.71
8.480,10.2853,38.3449,-11.43,-765.71
8.500,10.3295,38.4064,-11.43,-765.71
8.520,10.3295,38.4064,-11.43,-765.71
8.540,10.3347,38.3541,-11.43,-765.71
8.560,10.3347,38.3541,-11.43,-765.71
8.580,10.3347,38.3541,-11.43,-765.71
8.600,10.3484,38.3323,-11.43,-765.71
8.620,10.3484,38.3323,-11.43,-765.71
8.640,10.3678,38.3423,-11.43,-765.71
8.660,10.3678,38.3423,-11.43,-765.71
8.680,10.3678,38.3423,-11.43,-765.71
8.700,10.3753,38.2971,-11.43,-765.71
8.720,10.3753,38.2971,-11.43,-765.71
8.740,10.3944,38.2863,-11.43,-765.71
8.760,10.3944,38.2863,-11.43,-765.71
8.780,10.3944,38.2863,-11.43,-765.71
8.800,10.4042,38.2629,-11.43,-765.71
8.820,10.4042,38.2629,-11.43,-765.71
8.840,10.4113,38.2260,-11.43,-765.71
8.860,10.4113,38.2260,-11.43,-765.71
8.880,10.4113,38.2260,-11.43,-765.71
8.900,10.4141,38.1958,-11.43,-765.71
8.920,10.4141,38.1958,-11.43,-765.71
8.940,10.4177,38.1765,-11.43,-765.71
8.960,10.4177,38.1765,-11.43,-765.71
8.980,10.4177,38.1765,-11.43,-765.71
9.000,10.4298,38.1603,-11.43,-765.71
9.020,10.4298,38.1603,-11.43,-765.71
9.040,10.4283,38.1220,-11.43,-765.71
9.060,10.4283,38.1220,-11.43,-765.71
9.080,10.4283,38.1220,-11.43,-765.71
9.100,10.4311,38.0917,-11.43,-765.71
9.120,10.4311,38.0917,-11.43,-765.71
9.140,10.4439,38.0865,-11.43,-765.71
9.160,10.4439,38.0865,-11.43,-765.71
9.180,10.4439,38.0865,-11.43,-765.71
9.200,10.4459,38.0728,-11.43,-765.71
9.220,10.4459,38.0728,-11.43,-765.71
9.240,10.4572,38.0440,-11.43,-765.71
9.260,10.4572,38.0440,-11.43,-765.71
9.280,10.4572,38.0440,-11.43,-765.71
9.300,10.4596,38.0220,-11.43,-765.71
9.320,10.4596,38.0220,-11.43,-765.71
9.340,10.4620,38.0000,-11.43,-765.71
9.360,10.4620,38.0000,-11.43,-765.71
9.380,10.4620,38.0000,-11.43,-765.71
9.400,10.4624,37.9918,-11.43,-765.71
9.420,10.4624,37.9918,-11.43,-765.71
9.440,10.4582,37.9547,-11.43,-765.71
9.460,10.4582,37.9547,-11.43,-765.71
9.480,10.4582,37.9547,-11.43,-765.71
9.500,10.4602,37.9409,-11.43,-765.71
9.520,10.4602,37.9409,-11.43,-765.71
9.540,10.4633,37.9315,-11.43,-765.71
9.560,10.4633,37.9315,-11.43,-765.71
9.580,10.4576,37.8999,-11.43,-765.71
9.600,10.4576,37.8999,-11.43,-765.71
9.620,10.4576,37.8999,-11.43,-765.71
9.640,10.4681,37.8876,-11.43,-765.71
9.660,10.4681,37.8876,-11.43,-765.71
9.680,10.4766,37.8891,-11.43,-765.71
9.700,10.4766,37.8891,-11.43,-765.71
9.720,10.4766,37.8891,-11.43,-765.71
9.740,10.4963,37.8908,-11.43,-765.71
9.760,10.4963,37.8908,-11.43,-765.71
9.780,10.4983,37.8770,-11.43,-765.71
9.800,10.4983,37.8770,-11.43,-765.71
9.820,10.4983,37.8770,-11.43,-765.71
9.840,10.4987,37.8688,-11.43,-765.71
9.860,10.4987,37.8688,-11.43,-765.71
9.880,10.5103,37.8608,-11.43,-765.71
9.900,10.5103,37.8608,-11.43,-765.71
9.920,10.5103,37.8608,-11.43,-765.71
9.940,10.5203,37.8568,-11.43,-765.71
9.960,10.5203,37.8568,-11.43,-765.71
9.980,10.5304,37.8543,-11.43,-765.71
10.000,10.5304,37.8543,-11.43,-765.71
10.020,10.5304,37.8543,-11.43,-765.71
10.040,10.5304,37.8543,-11.43,-765.71
10.060,10.5304,37.8543,-11.43,-765.71
10.080,10.5319,37.8488,-11.43,-765.71
10.100,10.5319,37.8488,-11.43,-765.71
10.120,10.5319,37.8488,-11.43,-765.71
10.140,10.5323,37.8406,-11.43,-765.71
10.160,10.5323,37.8406,-11.43,-765.71
10.180,10.5366,37.8339,-11.43,-765.71
10.200,10.5366,37.8339,-11.43,-765.71
10.220,10.5366,37.8339,-11.43,-765.71
10.240,10.5370,37.8257,-11.43,-765.71
10.260,10.5370,37.8257,-11.43,-765.71
10.280,10.5370,37.8257,-11.43,-765.71
10.300,10.5370,37.8257,-11.43,-765.71
10.320,10.5370,37.8257,-11.43,-765.71
10.340,10.5389,37.8120,-11.43,-765.71
10.360,10.5389,37.8120,-11.43,-765.71
10.380,10.5389,37.8120,-11.43,-765.71
10.400,10.5389,37.8120,-11.43,-765.71
10.420,10.5389,37.8120,-11.43,-765.71
10.440,10.5474,37.8134,-11.43,-765.71
10.460,10.5474,37.8134,-11.43,-765.71
10.480,10.5548,37.8121,-11.43,-765.71
10.500,10.5548,37.8121,-11.43,-765.71
10.520,10.5548,37.8121,-11.43,-765.71
10.540,10.5548,37.8121,-11.43,-765.71
10.560,10.5548,37.8121,-11.43,-765.71
10.580,10.5571,37.8192,-11.43,-765.71
10.600,10.5571,37.8192,-11.43,-765.71
10.620,10.5571,37.8192,-11.43,-765.71
10.640,10.5571,37.8192,-11.43,-765.71
10.660,10.5571,37.8192,-11.43,-765.71
10.680,10.5571,37.8192,-11.43,-765.71
10.700,10.5571,37.8192,-11.43,-765.71
10.720,10.5571,37.8192,-11.43,-765.71
10.740,10.5598,37.8180,-11.43,-765.71
10.760,10.5598,37.8180,-11.43,-765.71
10.780,10.5679,37.8277,-11.43,-765.71
10.800,10.5679,37.8277,-11.43,-765.71
10.820,10.5679,37.8277,-11.43,-765.71
10.840,10.5679,37.8277,-11.43,-765.71
10.860,10.5679,37.8277,-11.43,-765.71
10.880,10.5683,37.8194,-11.43,-765.71
10.900,10.5683,37.8194,-11.43,-765.71
10.920,10.5683,37.8194,-11.43,-765.71
10.940,10.5598,37.8180,-11.43,-765.71
10.960,10.5598,37.8180,-11.43,-765.71
10.980,10.5698,37.8139,-11.43,-765.71
11.000,10.5698,37.8139,-11.43,-765.71
11.020,10.5698,37.8139,-11.43,-765.71
11.040,10.5683,37.8194,-11.43,-765.71
11.060,10.5683,37.8194,-11.43,-765.71
11.080,10.5687,37.8112,-11.43,-765.71
11.100,10.5687,37.8112,-11.43,-765.71
11.120,10.5687,37.8112,-11.43,-765.71
11.140,10.5698,37.8139,-11.43,-765.71
11.160,10.5698,37.8139,-11.43,-765.71
11.180,10.5698,37.8139,-11.43,-765.71
11.200,10.5698,37.8139,-11.43,-765.71
11.220,10.5698,37.8139,-11.43,-765.71
11.240,10.5698,37.8139,-11.43,-765.71
11.260,10.5698,37.8139,-11.43,-765.71
11.280,10.5702,37.8057,-11.43,-765.71
11.300,10.5702,37.8057,-11.43,-765.71
11.320,10.5702,37.8057,-11.43,-765.71
11.340,10.5702,37.8057,-11.43,-765.71
11.360,10.5702,37.8057,-11.43,-765.71
11.380,10.5702,37.8057,-11.43,-765.71
11.400,10.5702,37.8057,-11.43,-765.71
11.420,10.5702,37.8057,-11.43,-765.71
11.440,10.5729,37.8046,-11.43,-765.71
11.460,10.5729,37.8046,-11.43,-765.71
11.480,10.5733,37.7963,-11.43,-765.71
11.500,10.5733,37.7963,-11.43,-765.71
11.520,10.5733,37.7963,-11.43,-765.71
11.540,10.5733,37.7963,-11.43,-765.71
11.560,10.5733,37.7963,-11.43,-765.71
11.580,10.5748,37.7908,-11.43,-765.71
11.600,10.5748,37.7908,-11.43,-765.71
11.620,10.5748,37.7908,-11.43,-765.71
11.640,10.5748,37.7908,-11.43,-765.71
11.660,10.5748,37.7908,-11.43,-765.71
11.680,10.5752,37.7826,-11.43,-765.71
11.700,10.5752,37.7826,-11.43,-765.71
11.720,10.5752,37.7826,-11.43,-765.71
11.740,10.5752,37.7826,-11.43,-765.71
11.760,10.5752,37.7826,-11.43,-765.71
11.780,10.5752,37.7826,-11.43,-765.71
11.800,10.5752,37.7826,-11.43,-765.71
11.820,10.5752,37.7826,-11.43,-765.71
11.840,10.5752,37.7826,-11.43,-765.71
11.860,10.5752,37.7826,-11.43,-765.71
11.880,10.5752,37.7826,-11.43,-765.71
11.900,10.5752,37.7826,-11.43,-765.71
11.920,10.5752,37.7826,-11.43,-765.71
11.940,10.5752,37.7826,-11.43,-765.71
11.960,10.5752,37.7826,-11.43,-765.71
11.980,10.5663,37.7894,-11.43,-765.71
12.000,10.5663,37.7894,-11.43,-765.71
12.020,10.5663,37.7894,-11.43,-765.71
12.040,10.5637,37.7906,-11.43,-765.71
12.060,10.5637,37.7906,-11.43,-765.71
12.080,10.5637,37.7906,-11.43,-765.71
12.100,10.5637,37.7906,-11.43,-765.71
12.120,10.5637,37.7906,-11.43,-765.71
12.140,10.5683,37.7904,-11.43,-765.71
12.160,10.5683,37.7904,-11.43,-765.71
12.180,10.5683,37.7904,-11.43,-765.71
12.200,10.5683,37.7904,-11.43,-765.71
12.220,10.5683,37.7904,-11.43,-765.71
12.240,10.5675,37.8069,-11.43,-765.71
12.260,10.5675,37.8069,-11.43,-765.71
12.280,10.5702,37.8057,-11.43,-765.71
12.300,10.5702,37.8057,-11.43,-765.71
12.320,10.5702,37.8057,-11.43,-765.71
12.340,10.5783,37.8154,-11.43,-765.71
12.360,10.5783,37.8154,-11.43,-765.71
12.380,10.5698,37.8139,-11.43,-765.71
12.400,10.5698,37.8139,-11.43,-765.71
12.420,10.5698,37.8139,-11.43,-765.71
12.440,10.5698,37.8139,-11.43,-765.71
12.460,10.5698,37.8139,-11.43,-765.71
12.480,10.5729,37.8046,-11.43,-765.71
12.500,10.5729,37.8046,-11.43,-765.71
12.520,10.5729,37.8046,-11.43,-765.71
12.540,10.5659,37.7976,-11.43,-765.71
12.560,10.5659,37.7976,-11.43,-765.71
12.580,10.5663,37.7894,-11.43,-765.71
12.600,10.5663,37.7894,-11.43,-765.71
12.620,10.5663,37.7894,-11.43,-765.71
12.640,10.5578,37.7880,-11.43,-765.71
12.660,10.5578,37.7880,-11.43,-765.71
12.680,10.5493,37.7866,-11.43,-765.71
12.700,10.5493,37.7866,-11.43,-765.71
12.720,10.5493,37.7866,-11.43,-765.71
12.740,10.5462,37.7959,-11.43,-765.71
12.760,10.5462,37.7959,-11.43,-765.71
12.780,10.5420,37.8026,-11.43,-765.71
12.800,10.5420,37.8026,-11.43,-765.71
12.820,10.5420,37.8026,-11.43,-765.71
12.840,10.5532,37.8029,-11.43,-765.71
12.860,10.5532,37.8029,-11.43,-765.71
12.880,10.5729,37.8046,-11.43,-765.71
12.900,10.5729,37.8046,-11.43,-765.71
12.920,10.5729,37.8046,-11.43,-765.71
12.940,10.5729,37.8046,-11.43,-765.71
12.960,10.5729,37.8046,-11.43,-765.71
12.980,10.5709,37.8183,-11.43,-765.71
13.000,10.5709,37.8183,-11.43,-765.71
13.020,10.5643,37.8321,-11.43,-765.71
13.040,10.5643,37.8321,-11.43,-765.71
13.060,10.5643,37.8321,-11.43,-765.71
13.080,10.5558,37.8307,-11.43,-765.71
13.100,10.5558,37.8307,-11.43,-765.71
13.120,10.5276,37.8276,-11.43,-765.71
13.140,10.5276,37.8276,-11.43,-765.71
13.160,10.5276,37.8276,-11.43,-765.71
13.180,10.5249,37.8288,-11.43,-765.71
13.200,10.5249,37.8288,-11.43,-765.71
13.220,10.5442,37.8387,-11.43,-765.71
13.240,10.5442,37.8387,-11.43,-765.71
13.260,10.5442,37.8387,-11.43,-765.71
13.280,10.5623,37.8459,-11.43,-765.71
13.300,10.5623,37.8459,-11.43,-765.71
13.320,10.5643,37.8321,-11.43,-765.71
13.340,10.5643,37.8321,-11.43,-765.71
13.360,10.5643,37.8321,-11.43,-765.71
13.380,10.5558,37.8307,-11.43,-765.71
13.400,10.5558,37.8307,-11.43,-765.71
13.420,10.5442,37.8387,-11.43,-765.71
13.440,10.5442,37.8387,-11.43,-765.71
13.460,10.5442,37.8387,-11.43,-765.71
13.480,10.5512,37.8456,-11.43,-765.71
13.500,10.5512,37.8456,-11.43,-765.71
13.520,10.5500,37.8413,-11.43,-765.71
13.540,10.5500,37.8413,-11.43,-765.71
13.560,10.5500,37.8413,-11.43,-765.71
13.580,10.5361,37.8290,-11.43,-765.71
13.600,10.5361,37.8290,-11.43,-765.71
13.620,10.5291,37.8221,-11.43,-765.71
13.640,10.5291,37.8221,-11.43,-765.71
13.660,10.5291,37.8221,-11.43,-765.71
13.680,10.5376,37.8235,-11.43,-765.71
13.700,10.5376,37.8235,-11.43,-765.71
13.720,10.5446,37.8305,-11.43,-765.71
13.740,10.5446,37.8305,-11.43,-765.71
13.760,10.5446,37.8305,-11.43,-765.71
13.780,10.5265,37.8233,-11.43,-765.71
13.800,10.5265,37.8233,-11.43,-765.71
13.820,10.5184,37.8136,-11.43,-765.71
13.840,10.5184,37.8136,-11.43,-765.71
13.860,10.5184,37.8136,-11.43,-765.71
13.880,10.5184,37.8136,-11.43,-765.71
13.900,10.5184,37.8136,-11.43,-765.71
13.920,10.5265,37.8233,-11.43,-765.71
13.940,10.5265,37.8233,-11.43,-765.71
