t_s,imu1_roll_deg,target_roll_deg,imu1_pitch_deg,target_pitch_deg,imu2_roll_deg,imu2_pitch_deg,motor_roll_pos_deg,motor_pitch_pos_deg,dt_ms
0.000,-6.6691,2.6676,25.4337,10.1735,0.0097,0.0019,0.0000,0.0000,0.01
0.020,-6.6691,2.6676,25.4337,10.1735,0.0097,0.0019,-174.2857,-448.5714,38.59
0.040,-6.6737,2.6695,25.4243,10.1697,0.0097,0.0019,-174.2857,-448.5714,20.08
0.060,-6.6737,2.6695,25.4243,10.1697,0.1723,0.4734,-174.2857,-448.5714,20.07
0.080,-6.6737,2.6695,25.4243,10.1697,0.1723,0.4734,-174.2857,-445.7143,20.09
0.100,-6.6542,2.6617,25.4159,10.1664,0.1781,0.4696,-171.4286,-442.8571,20.08
0.120,-6.6542,2.6617,25.4159,10.1664,0.1781,0.4696,-168.5714,-437.1429,20.08
0.140,-6.5121,2.6048,25.3974,10.1589,0.1781,0.4696,-165.7143,-434.2857,20.07
0.160,-6.5121,2.6048,25.3974,10.1589,0.1781,0.4696,-160.0000,-428.5714,20.08
0.180,-6.5121,2.6048,25.3974,10.1589,0.1781,0.4696,-154.2857,-422.8571,20.08
0.200,-6.1601,2.4641,25.2892,10.1157,0.1781,0.4696,-148.5714,-417.1429,20.09
0.220,-6.1601,2.4641,25.2892,10.1157,0.1781,0.4696,-137.1429,-402.8571,20.08
0.240,-5.6068,2.2427,24.9898,9.9959,0.1781,0.4696,-131.4286,-397.1429,20.07
0.260,-5.6068,2.2427,24.9898,9.9959,0.1781,0.4696,-122.8571,-385.7143,20.07
0.280,-5.6068,2.2427,24.9898,9.9959,0.1781,0.4696,-114.2857,-371.4286,20.08
0.300,-4.8570,1.9428,24.4157,9.7663,0.1781,0.4696,-111.4286,-360.0000,20.07
0.320,-4.8570,1.9428,24.4157,9.7663,0.1781,0.4696,-105.7143,-342.8571,20.07
0.340,-4.1476,1.6590,23.5890,9.4356,0.1781,0.4696,-102.8571,-331.4286,20.07
0.360,-4.1476,1.6590,23.5890,9.4356,0.1820,0.4754,-97.1429,-314.2857,20.07
0.380,-4.1476,1.6590,23.5890,9.4356,0.1820,0.4754,-94.2857,-294.2857,20.07
0.400,-3.8223,1.5289,22.5726,9.0291,0.1820,0.4754,-91.4286,-280.0000,20.09
0.420,-3.8223,1.5289,22.5726,9.0291,0.1820,0.4754,-88.5714,-257.1429,20.08
0.440,-3.9178,1.5671,21.3361,8.5344,0.1820,0.4754,-88.5714,-248.5714,20.08
0.460,-3.9178,1.5671,21.3361,8.5344,0.1878,0.4715,-91.4286,-231.4286,20.09
0.480,-3.9178,1.5671,21.3361,8.5344,0.1878,0.4715,-91.4286,-217.1429,20.08
0.500,-4.3382,1.7353,19.9491,7.9796,0.1917,0.4773,-94.2857,-205.7143,20.08
0.520,-4.3382,1.7353,19.9491,7.9796,0.1917,0.4773,-100.0000,-191.4286,20.08
0.540,-4.8761,1.9505,18.4554,7.3821,0.1917,0.4773,-102.8571,-185.7143,20.07
0.560,-4.8761,1.9505,18.4554,7.3821,0.1917,0.4773,-108.5714,-174.2857,20.09
0.580,-4.8761,1.9505,18.4554,7.3821,0.1917,0.4773,-117.1429,-165.7143,20.08
0.600,-5.5170,2.2068,16.9483,6.7793,0.1975,0.4735,-120.0000,-160.0000,20.09
0.620,-5.5170,2.2068,16.9483,6.7793,0.1975,0.4735,-125.7143,-154.2857,20.08
0.640,-6.2370,2.4948,15.3672,6.1469,0.1975,0.4735,-128.5714,-151.4286,20.08
0.660,-6.2370,2.4948,15.3672,6.1469,0.1975,0.4735,-131.4286,-145.7143,20.10
0.680,-6.2370,2.4948,15.3672,6.1469,0.1975,0.4735,-134.2857,-142.8571,20.08
0.700,-6.7581,2.7032,14.0106,5.6042,0.1975,0.4735,-134.2857,-142.8571,20.08
0.720,-6.7581,2.7032,14.0106,5.6042,0.1975,0.4735,-134.2857,-140.0000,20.08
0.740,-6.9394,2.7758,13.1829,5.2731,0.1975,0.4735,-134.2857,-140.0000,20.07
0.760,-6.9394,2.7758,13.1829,5.2731,0.2033,0.4696,-134.2857,-140.0000,20.07
0.780,-6.9394,2.7758,13.1829,5.2731,0.2033,0.4696,-128.5714,-142.8571,20.08
0.800,-6.7305,2.6922,13.6066,5.4427,0.2033,0.4696,-125.7143,-142.8571,20.07
0.820,-6.7305,2.6922,13.6066,5.4427,0.2033,0.4696,-120.0000,-148.5714,20.08
0.840,-6.2064,2.4826,14.5283,5.8113,0.2033,0.4696,-117.1429,-151.4286,20.07
0.860,-6.2064,2.4826,14.5283,5.8113,0.2072,0.4754,-111.4286,-157.1429,20.07
0.880,-6.2064,2.4826,14.5283,5.8113,0.2072,0.4754,-105.7143,-165.7143,20.07
0.900,-5.4786,2.1914,15.3334,6.1334,0.2072,0.4754,-102.8571,-171.4286,20.09
0.920,-5.4786,2.1914,15.3334,6.1334,0.2072,0.4754,-100.0000,-182.8571,20.07
0.940,-4.8338,1.9335,16.2015,6.4806,0.2072,0.4754,-100.0000,-188.5714,20.08
0.960,-4.8338,1.9335,16.2015,6.4806,0.2131,0.4715,-100.0000,-200.0000,20.07
0.980,-4.8338,1.9335,16.2015,6.4806,0.2131,0.4715,-97.1429,-214.2857,20.08
1.000,-4.4902,1.7961,16.9818,6.7927,0.2169,0.4774,-100.0000,-225.7143,20.08
1.020,-4.4902,1.7961,16.9818,6.7927,0.2169,0.4774,-100.0000,-242.8571,20.08
1.040,-4.5226,1.8091,17.9503,7.1801,0.2169,0.4773,-100.0000,-251.4286,20.08
1.060,-4.5226,1.8091,17.9503,7.1801,0.2169,0.4773,-105.7143,-265.7143,20.08
1.080,-4.5226,1.8091,17.9503,7.1801,0.2169,0.4773,-108.5714,-271.4286,20.08
1.100,-4.8477,1.9391,19.1252,7.6501,0.2053,0.4851,-111.4286,-280.0000,20.09
1.120,-4.8477,1.9391,19.1252,7.6501,0.2053,0.4851,-120.0000,-291.4286,20.07
1.140,-5.4332,2.1733,20.3016,8.1206,0.2053,0.4851,-122.8571,-294.2857,20.09
1.160,-5.4332,2.1733,20.3016,8.1206,0.2053,0.4851,-128.5714,-302.8571,20.08
1.180,-5.4332,2.1733,20.3016,8.1206,0.2053,0.4851,-131.4286,-305.7143,20.08
1.200,-6.1369,2.4548,21.2444,8.4977,0.2053,0.4851,-134.2857,-308.5714,20.07
1.220,-6.1369,2.4548,21.2444,8.4977,0.2053,0.4851,-140.0000,-311.4286,20.08
1.240,-6.6160,2.6464,21.9929,8.7972,0.2053,0.4851,-140.0000,-314.2857,20.07
1.260,-6.6160,2.6464,21.9929,8.7972,0.2053,0.4851,-142.8571,-314.2857,20.07
1.280,-6.6160,2.6464,21.9929,8.7972,0.2053,0.4851,-142.8571,-314.2857,20.08
1.300,-6.7524,2.7010,22.3799,8.9519,0.2092,0.4909,-140.0000,-314.2857,20.07
1.320,-6.7524,2.7010,22.3799,8.9519,0.2092,0.4909,-140.0000,-311.4286,20.07
1.340,-6.5529,2.6212,22.5817,9.0327,0.2053,0.4851,-137.1429,-308.5714,20.07
1.360,-6.5529,2.6212,22.5817,9.0327,0.2053,0.4851,-131.4286,-305.7143,20.07
1.380,-6.5529,2.6212,22.5817,9.0327,0.2053,0.4851,-128.5714,-300.0000,20.07
1.400,-6.0461,2.4184,22.4695,8.9878,0.2150,0.4870,-122.8571,-297.1429,20.07
1.420,-6.0461,2.4184,22.4695,8.9878,0.2150,0.4870,-114.2857,-288.5714,20.07
1.440,-5.3561,2.1424,22.1012,8.8405,0.2150,0.4870,-111.4286,-282.8571,20.07
1.460,-5.3561,2.1424,22.1012,8.8405,0.2208,0.4832,-105.7143,-271.4286,20.07
1.480,-5.3561,2.1424,22.1012,8.8405,0.2208,0.4832,-102.8571,-262.8571,20.07
1.500,-4.6784,1.8713,21.5279,8.6112,0.2208,0.4832,-100.0000,-254.2857,20.07
1.520,-4.6784,1.8713,21.5279,8.6112,0.2208,0.4832,-100.0000,-240.0000,20.08
1.540,-4.2444,1.6978,20.6830,8.2732,0.2169,0.4773,-97.1429,-234.2857,20.07
1.560,-4.2444,1.6978,20.6830,8.2732,0.2169,0.4773,-97.1429,-222.8571,20.07
1.580,-4.2444,1.6978,20.6830,8.2732,0.2169,0.4773,-97.1429,-217.1429,20.07
1.600,-4.2234,1.6894,19.7362,7.8945,0.2169,0.4773,-100.0000,-211.4286,20.07
1.620,-4.2234,1.6894,19.7362,7.8945,0.2169,0.4773,-100.0000,-205.7143,20.08
1.640,-4.5776,1.8311,18.6533,7.4613,0.2111,0.4812,-102.8571,-202.8571,20.07
1.660,-4.5776,1.8311,18.6533,7.4613,0.2111,0.4812,-108.5714,-200.0000,20.09
1.680,-4.5776,1.8311,18.6533,7.4613,0.2111,0.4812,-111.4286,-197.1429,20.08
1.700,-5.2229,2.0891,17.5379,7.0151,0.2053,0.4851,-117.1429,-197.1429,20.07
1.720,-5.2229,2.0891,17.5379,7.0151,0.2053,0.4851,-122.8571,-197.1429,20.08
1.740,-6.0665,2.4266,16.4016,6.5606,0.2015,0.4793,-125.7143,-197.1429,20.08
1.760,-6.0665,2.4266,16.4016,6.5606,0.2015,0.4793,-134.2857,-200.0000,20.08
1.780,-6.0665,2.4266,16.4016,6.5606,0.2015,0.4793,-137.1429,-200.0000,20.09
1.800,-6.8269,2.7308,15.6584,6.2634,0.2014,0.4793,-140.0000,-202.8571,20.07
1.820,-6.8269,2.7308,15.6584,6.2634,0.2014,0.4793,-142.8571,-205.7143,20.08
1.840,-7.2175,2.8870,15.8370,6.3348,0.2053,0.4851,-142.8571,-208.5714,20.07
1.860,-7.2175,2.8870,15.8370,6.3348,0.2053,0.4851,-145.7143,-217.1429,20.08
1.880,-7.2175,2.8870,15.8370,6.3348,0.2053,0.4851,-145.7143,-222.8571,20.08
1.900,-7.1862,2.8745,17.0907,6.8363,0.1956,0.4831,-142.8571,-228.5714,20.07
1.920,-7.1862,2.8745,17.0907,6.8363,0.1956,0.4831,-140.0000,-240.0000,20.08
1.940,-6.8294,2.7318,18.2293,7.2917,0.1995,0.4890,-140.0000,-248.5714,20.08
1.960,-6.8294,2.7318,18.2293,7.2917,0.1995,0.4890,-134.2857,-260.0000,20.07
1.980,-6.8294,2.7318,18.2293,7.2917,0.1995,0.4890,-128.5714,-262.8571,20.08
2.000,-6.2136,2.4854,19.2890,7.7156,0.1937,0.4928,-122.8571,-268.5714,20.07
2.020,-6.2136,2.4854,19.2890,7.7156,0.1937,0.4928,-114.2857,-274.2857,20.07
2.040,-5.4103,2.1641,20.2112,8.0845,0.2034,0.4948,-108.5714,-277.1429,20.08
2.060,-5.4103,2.1641,20.2112,8.0845,0.2034,0.4948,-102.8571,-280.0000,20.07
2.080,-5.4103,2.1641,20.2112,8.0845,0.2034,0.4948,-100.0000,-282.8571,20.08
2.100,-4.6126,1.8450,20.8306,8.3322,0.1975,0.4987,-97.1429,-282.8571,20.08
2.120,-4.6126,1.8450,20.8306,8.3322,0.1975,0.4987,-94.2857,-282.8571,20.08
2.140,-4.0457,1.6183,21.2991,8.5196,0.1975,0.4987,-94.2857,-280.0000,20.08
2.160,-4.0457,1.6183,21.2991,8.5196,0.1975,0.4987,-91.4286,-280.0000,20.08
2.180,-4.0457,1.6183,21.2991,8.5196,0.1975,0.4987,-91.4286,-277.1429,20.08
2.200,-3.9057,1.5623,21.5625,8.6250,0.1975,0.4987,-94.2857,-274.2857,20.08
2.220,-3.9057,1.5623,21.5625,8.6250,0.1975,0.4987,-94.2857,-268.5714,20.08
2.240,-4.1663,1.6665,21.5327,8.6131,0.1878,0.4967,-97.1429,-262.8571,20.07
2.260,-4.1663,1.6665,21.5327,8.6131,0.1878,0.4967,-100.0000,-254.2857,20.07
2.280,-4.1663,1.6665,21.5327,8.6131,0.1878,0.4967,-102.8571,-251.4286,20.08
2.300,-4.7541,1.9016,21.3187,8.5275,0.1859,0.5064,-108.5714,-242.8571,20.08
2.320,-4.7541,1.9016,21.3187,8.5275,0.1859,0.5064,-117.1429,-231.4286,20.08
2.340,-5.4837,2.1935,20.7718,8.3087,0.1820,0.5006,-122.8571,-228.5714,20.08
2.360,-5.4837,2.1935,20.7718,8.3087,0.1820,0.5006,-131.4286,-222.8571,20.07
2.380,-5.4837,2.1935,20.7718,8.3087,0.1820,0.5006,-134.2857,-220.0000,20.08
2.400,-6.2404,2.4962,20.0934,8.0374,0.1820,0.5006,-137.1429,-217.1429,20.07
2.420,-6.2404,2.4962,20.0934,8.0374,0.1820,0.5006,-142.8571,-214.2857,20.08
2.440,-6.8058,2.7223,19.2920,7.7168,0.1820,0.5006,-142.8571,-214.2857,20.08
2.460,-6.8058,2.7223,19.2920,7.7168,0.1820,0.5006,-145.7143,-214.2857,20.07
2.480,-6.8058,2.7223,19.2920,7.7168,0.1820,0.5006,-145.7143,-214.2857,20.08
2.500,-7.0388,2.8155,18.3368,7.3347,0.1859,0.5064,-145.7143,-217.1429,20.08
2.520,-7.0388,2.8155,18.3368,7.3347,0.1859,0.5064,-142.8571,-220.0000,20.08
2.540,-6.9407,2.7763,17.4159,6.9664,0.1917,0.5025,-142.8571,-220.0000,20.08
2.560,-6.9407,2.7763,17.4159,6.9664,0.1917,0.5025,-137.1429,-225.7143,20.08
2.580,-6.9407,2.7763,17.4159,6.9664,0.1917,0.5025,-134.2857,-228.5714,20.08
2.600,-6.5594,2.6238,16.7067,6.6827,0.1917,0.5025,-128.5714,-234.2857,20.08
2.620,-6.5594,2.6238,16.7067,6.6827,0.1917,0.5025,-120.0000,-242.8571,20.08
2.640,-5.8915,2.3566,16.9272,6.7709,0.1917,0.5025,-117.1429,-248.5714,20.08
2.660,-5.8915,2.3566,16.9272,6.7709,0.1917,0.5025,-108.5714,-260.0000,20.08
2.680,-5.8915,2.3566,16.9272,6.7709,0.1917,0.5025,-105.7143,-265.7143,20.08
2.700,-5.0126,2.0050,18.5203,7.4081,0.1917,0.5025,-102.8571,-271.4286,20.08
2.720,-5.0126,2.0050,18.5203,7.4081,0.1917,0.5025,-97.1429,-277.1429,20.08
2.740,-4.3166,1.7266,20.0071,8.0028,0.1956,0.5084,-97.1429,-280.0000,20.08
2.760,-4.3166,1.7266,20.0071,8.0028,0.1956,0.5084,-94.2857,-282.8571,20.08
2.780,-4.0282,1.6113,21.2522,8.5009,0.1956,0.5084,-94.2857,-285.7143,20.08
2.800,-4.0282,1.6113,21.2522,8.5009,0.1859,0.5064,-94.2857,-285.7143,20.07
2.820,-4.0282,1.6113,21.2522,8.5009,0.1859,0.5064,-97.1429,-285.7143,20.08
2.840,-4.1299,1.6520,22.2898,8.9159,0.1859,0.5064,-97.1429,-285.7143,20.08
2.860,-4.1299,1.6520,22.2898,8.9159,0.1859,0.5064,-100.0000,-282.8571,20.08
2.880,-4.1299,1.6520,22.2898,8.9159,0.1859,0.5064,-102.8571,-282.8571,20.07
2.900,-4.5811,1.8324,23.0452,9.2181,0.1898,0.5122,-108.5714,-280.0000,20.07
2.920,-4.5811,1.8324,23.0452,9.2181,0.1898,0.5122,-117.1429,-274.2857,20.08
2.940,-5.2101,2.0840,23.3814,9.3525,0.1801,0.5103,-120.0000,-271.4286,20.08
2.960,-5.2101,2.0840,23.3814,9.3525,0.1801,0.5103,-128.5714,-262.8571,20.08
2.980,-5.8776,2.3510,23.4039,9.3616,0.1801,0.5103,-131.4286,-257.1429,20.08
3.000,-5.8776,2.3510,23.4039,9.3616,0.1859,0.5064,-134.2857,-251.4286,20.08
3.020,-5.8776,2.3510,23.4039,9.3616,0.1859,0.5064,-137.1429,-240.0000,20.08
3.040,-6.3792,2.5517,22.9261,9.1704,0.1801,0.5103,-140.0000,-231.4286,20.08
3.060,-6.3792,2.5517,22.9261,9.1704,0.1801,0.5103,-140.0000,-220.0000,20.08
3.080,-6.5687,2.6275,21.8875,8.7550,0.1801,0.5103,-140.0000,-214.2857,20.08
3.100,-6.5687,2.6275,21.8875,8.7550,0.1742,0.5142,-140.0000,-205.7143,20.08
3.120,-6.5687,2.6275,21.8875,8.7550,0.1742,0.5142,-137.1429,-200.0000,20.07
3.140,-6.4542,2.5817,20.7017,8.2807,0.1742,0.5142,-134.2857,-197.1429,20.08
3.160,-6.4542,2.5817,20.7017,8.2807,0.1742,0.5142,-128.5714,-191.4286,20.08
3.180,-6.0592,2.4237,19.2459,7.6984,0.1742,0.5142,-125.7143,-191.4286,20.08
3.200,-6.0592,2.4237,19.2459,7.6984,0.1898,0.5122,-117.1429,-188.5714,20.08
3.220,-6.0592,2.4237,19.2459,7.6984,0.1898,0.5122,-111.4286,-188.5714,20.08
3.240,-5.4798,2.1919,17.7525,7.1010,0.1859,0.5064,-108.5714,-188.5714,20.08
3.260,-5.4798,2.1919,17.7525,7.1010,0.1859,0.5064,-105.7143,-191.4286,20.08
3.280,-4.9762,1.9905,16.2492,6.4997,0.1859,0.5064,-105.7143,-191.4286,20.08
3.300,-4.9762,1.9905,16.2492,6.4997,0.1859,0.5064,-102.8571,-194.2857,20.08
3.320,-4.9762,1.9905,16.2492,6.4997,0.1859,0.5064,-100.0000,-197.1429,20.08
3.340,-4.7591,1.9036,15.0937,6.0375,0.1859,0.5064,-100.0000,-200.0000,20.08
3.360,-4.7591,1.9036,15.0937,6.0375,0.1859,0.5064,-102.8571,-208.5714,20.08
3.380,-4.7687,1.9075,15.3786,6.1514,0.1859,0.5064,-102.8571,-211.4286,20.08
3.400,-4.7687,1.9075,15.3786,6.1514,0.1859,0.5064,-102.8571,-220.0000,20.08
3.420,-4.7687,1.9075,15.3786,6.1514,0.1859,0.5064,-108.5714,-228.5714,20.08
3.440,-4.9624,1.9850,17.4813,6.9925,0.1762,0.5045,-108.5714,-237.1429,20.08
3.460,-4.9624,1.9850,17.4813,6.9925,0.1762,0.5045,-117.1429,-251.4286,20.08
3.480,-5.4492,2.1797,19.0009,7.6004,0.1762,0.5045,-120.0000,-257.1429,20.08
3.500,-5.4492,2.1797,19.0009,7.6004,0.1704,0.5083,-122.8571,-268.5714,20.08
3.520,-5.4492,2.1797,19.0009,7.6004,0.1704,0.5083,-128.5714,-277.1429,20.08
3.540,-6.0525,2.4210,20.7677,8.3071,0.1645,0.5122,-131.4286,-282.8571,20.08
3.560,-6.0525,2.4210,20.7677,8.3071,0.1645,0.5122,-134.2857,-291.4286,20.08
3.580,-6.4441,2.5776,22.1188,8.8475,0.1645,0.5122,-134.2857,-294.2857,20.08
3.600,-6.4441,2.5776,22.1188,8.8475,0.1606,0.5064,-137.1429,-300.0000,20.08
3.620,-6.4441,2.5776,22.1188,8.8475,0.1606,0.5064,-137.1429,-302.8571,20.08
3.640,-6.4925,2.5970,23.0873,9.2349,0.1606,0.5064,-134.2857,-305.7143,20.08
3.660,-6.4925,2.5970,23.0873,9.2349,0.1606,0.5064,-134.2857,-305.7143,20.08
3.680,-6.2055,2.4822,23.8572,9.5429,0.1606,0.5064,-131.4286,-305.7143,20.07
3.700,-6.2055,2.4822,23.8572,9.5429,0.1607,0.5064,-128.5714,-305.7143,20.08
3.720,-6.2055,2.4822,23.8572,9.5429,0.1607,0.5064,-122.8571,-302.8571,20.08
3.740,-5.6328,2.2531,24.1211,9.6484,0.1607,0.5064,-117.1429,-302.8571,20.08
3.760,-5.6328,2.2531,24.1211,9.6484,0.1607,0.5064,-111.4286,-300.0000,20.07
3.780,-4.9510,1.9804,23.9964,9.5986,0.1607,0.5064,-108.5714,-297.1429,20.09
3.800,-4.9510,1.9804,23.9964,9.5986,0.1607,0.5064,-105.7143,-291.4286,20.07
3.820,-4.9510,1.9804,23.9964,9.5986,0.1607,0.5064,-105.7143,-285.7143,20.08
3.840,-4.4042,1.7617,23.5374,9.4150,0.1665,0.5025,-102.8571,-280.0000,20.08
3.860,-4.4042,1.7617,23.5374,9.4150,0.1665,0.5025,-102.8571,-268.5714,20.08
3.880,-4.2015,1.6806,22.8221,9.1288,0.1665,0.5025,-102.8571,-262.8571,20.08
3.900,-4.2015,1.6806,22.8221,9.1288,0.1704,0.5083,-102.8571,-251.4286,20.08
3.920,-4.2015,1.6806,22.8221,9.1288,0.1704,0.5083,-105.7143,-240.0000,20.08
3.940,-4.3954,1.7581,21.7439,8.6976,0.1704,0.5083,-105.7143,-231.4286,20.08
3.960,-4.3954,1.7581,21.7439,8.6976,0.1704,0.5083,-111.4286,-220.0000,20.09
3.980,-4.9119,1.9648,20.5489,8.2195,0.1704,0.5083,-114.2857,-217.1429,20.08
4.000,-4.9119,1.9648,20.5489,8.2195,0.1762,0.5045,-120.0000,-208.5714,20.08
4.020,-4.9119,1.9648,20.5489,8.2195,0.1762,0.5045,-122.8571,-205.7143,20.07
4.040,-5.6736,2.2694,19.1960,7.6784,0.1801,0.5103,-125.7143,-202.8571,20.08
4.060,-5.6736,2.2694,19.1960,7.6784,0.1801,0.5103,-128.5714,-200.0000,20.07
