t_s,imu1_roll_deg,cmd_roll_erpm,imu1_pitch_deg,cmd_pitch_erpm,imu2_roll_deg,imu2_pitch_deg,motor_roll_erpm,motor_pitch_erpm,motor_roll_pos_deg,motor_pitch_pos_deg,dt_ms
0.000,0.0397,-0.0,0.3900,0.0,-0.2305,5.3254,0,0,0.00,0.00,0.03
0.020,0.1017,-0.0,0.4006,0.0,-0.2305,5.3254,0,0,0.00,0.00,39.74
0.040,0.1017,-0.0,0.4006,0.0,-0.2305,5.3254,0,0,0.00,0.00,20.07
0.060,0.1017,-0.0,0.4006,0.0,-0.2305,5.3254,0,0,0.00,0.00,20.06
0.080,0.1017,-0.0,0.4006,0.0,-0.2292,5.3185,0,0,0.00,0.00,20.07
0.100,0.1017,-0.0,0.4006,0.0,-0.2292,5.3185,0,0,0.00,0.00,20.07
0.120,0.1029,-0.0,0.3937,0.0,-0.2292,5.3185,0,0,0.00,0.00,20.07
0.140,0.1029,-0.0,0.3937,0.0,-0.2292,5.3185,0,0,0.00,0.00,20.08
0.160,0.1029,-0.0,0.3937,0.0,-0.2305,5.3254,0,0,0.00,0.00,20.09
0.180,0.1097,-0.0,0.3949,0.0,-0.2305,5.3254,0,0,0.00,0.00,20.06
0.200,0.1097,-0.0,0.3949,0.0,-0.2305,5.3254,0,0,0.00,0.00,20.10
0.220,0.1073,-0.0,0.4087,0.0,-0.2305,5.3254,0,0,0.00,0.00,20.07
0.240,0.1073,-0.0,0.4087,0.0,-0.2305,5.3254,0,0,0.00,0.00,20.08
0.260,0.1073,-0.0,0.4087,0.0,-0.2305,5.3254,0,0,0.00,0.00,20.06
0.280,0.1154,-0.0,0.4030,0.0,-0.2305,5.3254,0,0,0.00,0.00,20.07
0.300,0.1154,-0.0,0.4030,0.0,-0.2305,5.3254,0,0,0.00,0.00,20.08
0.320,0.1223,-0.0,0.4041,0.0,-0.2305,5.3254,0,0,0.00,0.00,20.07
0.340,0.1223,-0.0,0.4041,0.0,-0.2305,5.3254,0,0,0.00,0.00,20.08
0.360,0.1223,-0.0,0.4041,0.0,-0.2305,5.3254,0,0,0.00,0.00,20.06
0.380,0.1223,-0.0,0.4041,0.0,-0.2305,5.3254,0,0,0.00,0.00,20.07
0.400,0.1223,-0.0,0.4041,0.0,-0.2305,5.3254,0,0,0.00,0.00,20.09
0.420,0.1211,-0.0,0.4110,0.0,-0.2315,5.3322,0,0,0.00,0.00,20.07
0.440,0.1211,-0.0,0.4110,0.0,-0.2315,5.3322,0,0,0.00,0.00,20.08
0.460,0.1211,-0.0,0.4110,0.0,-0.2302,5.3253,0,0,0.00,0.00,20.07
0.480,0.1211,-0.0,0.4110,0.0,-0.2302,5.3253,0,0,0.00,0.00,20.07
0.500,0.1211,-0.0,0.4110,0.0,-0.2302,5.3253,0,0,0.00,0.00,20.09
0.520,0.1223,-0.0,0.4041,0.0,-0.2302,5.3253,0,0,0.00,0.00,20.07
0.540,0.1223,-0.0,0.4041,0.0,-0.2302,5.3253,0,0,0.00,0.00,20.07
0.560,0.1223,-0.0,0.4041,0.0,-0.2315,5.3322,0,0,0.00,0.00,20.06
0.580,0.1211,-0.0,0.4110,0.0,-0.2315,5.3322,0,0,0.00,0.00,20.07
0.600,0.1211,-0.0,0.4110,0.0,-0.2315,5.3322,0,0,0.00,0.00,20.08
0.620,0.1211,-0.0,0.4110,0.0,-0.2318,5.3323,0,0,0.00,0.00,20.07
0.640,0.1211,-0.0,0.4110,0.0,-0.2318,5.3323,0,0,0.00,0.00,20.07
0.660,0.1211,-0.0,0.4110,0.0,-0.2249,5.3336,0,0,0.00,0.00,20.06
0.680,0.1268,-0.0,0.4191,0.0,-0.2249,5.3336,0,0,0.00,0.00,20.07
0.700,0.1268,-0.0,0.4191,0.0,-0.2249,5.3336,0,0,0.00,0.00,20.09
0.720,0.1280,-0.0,0.4122,0.0,-0.2253,5.3336,0,0,0.00,0.00,20.07
0.740,0.1280,-0.0,0.4122,0.0,-0.2253,5.3336,0,0,0.00,0.00,20.09
0.760,0.1280,-0.0,0.4122,0.0,-0.2115,5.3362,0,0,0.00,0.00,20.09
0.780,0.1361,-0.0,0.4065,0.0,-0.2115,5.3362,0,0,0.00,0.00,20.07
0.800,0.1361,-0.0,0.4065,0.0,-0.2115,5.3362,0,0,0.00,0.00,20.09
0.820,0.1361,-0.0,0.4065,0.0,-0.2115,5.3362,0,0,0.00,0.00,20.08
0.840,0.1361,-0.0,0.4065,0.0,-0.2115,5.3362,0,0,0.00,0.00,20.08
0.860,0.1361,-0.0,0.4065,0.0,-0.2115,5.3362,0,0,0.00,0.00,20.09
0.880,0.1292,-0.0,0.4053,0.0,-0.2115,5.3362,0,0,0.00,0.00,20.07
0.900,0.1292,-0.0,0.4053,0.0,-0.2115,5.3362,0,0,0.00,0.00,20.09
0.920,0.1223,-0.0,0.4041,0.0,-0.2128,5.3431,0,0,0.00,0.00,20.07
0.940,0.1223,-0.0,0.4041,0.0,-0.2128,5.3431,0,0,0.00,0.00,20.07
0.960,0.1223,-0.0,0.4041,0.0,-0.2125,5.3431,0,0,0.00,0.00,20.09
0.980,0.1223,-0.0,0.4041,0.0,-0.2125,5.3431,0,0,0.00,0.00,20.07
1.000,0.1223,-0.0,0.4041,0.0,-0.2125,5.3431,0,0,0.00,0.00,20.07
1.020,0.1281,-0.0,0.4122,0.0,-0.2128,5.3431,0,0,0.00,0.00,20.07
1.040,0.1281,-0.0,0.4122,0.0,-0.2128,5.3431,0,0,0.00,0.00,20.07
1.060,0.1338,-0.0,0.4203,0.0,-0.2125,5.3431,0,0,0.00,0.00,20.07
1.080,0.1338,-0.0,0.4203,0.0,-0.2125,5.3431,0,0,0.00,0.00,20.07
1.100,0.1338,-0.0,0.4203,0.0,-0.2125,5.3431,0,0,0.00,0.00,20.08
1.120,0.1418,-0.0,0.4146,0.0,-0.2056,5.3444,0,0,0.00,0.00,20.07
1.140,0.1418,-0.0,0.4146,0.0,-0.2056,5.3444,0,0,0.00,0.00,20.08
1.160,0.1361,-0.0,0.4065,0.0,-0.2112,5.3362,0,0,0.00,0.00,20.07
1.180,0.1361,-0.0,0.4065,0.0,-0.2112,5.3362,0,0,0.00,0.00,20.08
1.200,0.1361,-0.0,0.4065,0.0,-0.2112,5.3362,0,0,0.00,0.00,20.08
1.220,0.1269,-0.0,0.4191,0.0,-0.2184,5.3349,-1,0,0.00,0.00,20.08
1.240,0.1269,-0.0,0.4191,0.0,-0.2184,5.3349,0,0,0.00,0.00,20.07
1.260,0.1245,-0.0,0.4329,0.0,-0.2184,5.3349,0,0,0.00,0.00,20.09
1.280,0.1245,-0.0,0.4329,0.0,-0.2184,5.3349,0,0,0.00,0.00,20.08
1.300,0.1245,-0.0,0.4329,0.0,-0.2184,5.3349,0,0,0.00,0.00,20.09
1.320,0.1245,-0.0,0.4329,0.0,-0.2174,5.3281,0,0,0.00,0.00,20.07
1.340,0.1245,-0.0,0.4329,0.0,-0.2174,5.3281,0,0,0.00,0.00,20.07
1.360,0.1338,-0.0,0.4203,0.0,-0.2240,5.3267,0,0,0.00,0.00,20.11
1.380,0.1338,-0.0,0.4203,0.0,-0.2240,5.3267,0,0,0.00,0.00,20.07
1.400,0.1338,-0.0,0.4203,0.0,-0.2240,5.3267,0,0,0.00,0.00,20.07
1.420,0.1383,-0.0,0.4353,0.0,-0.2240,5.3267,0,0,0.00,0.00,20.07
1.440,0.1383,-0.0,0.4353,0.0,-0.2240,5.3267,0,0,0.00,0.00,20.08
1.460,0.1246,-0.0,0.4329,0.0,-0.2378,5.3241,0,0,0.00,0.00,20.07
1.480,0.1246,-0.0,0.4329,0.0,-0.2378,5.3241,0,0,0.00,0.00,20.08
1.500,0.1246,-0.0,0.4329,0.0,-0.2378,5.3241,-1,0,0.00,0.00,20.07
1.520,0.0958,-0.0,0.4351,0.0,-0.2460,5.3297,0,0,0.00,0.00,20.07
1.540,0.0958,-0.0,0.4351,0.0,-0.2460,5.3297,0,0,0.00,0.00,20.07
1.560,0.0808,-0.0,0.4396,0.0,-0.2463,5.3294,0,0,0.00,0.00,20.07
1.580,0.0808,-0.0,0.4396,0.0,-0.2463,5.3294,0,0,0.00,0.00,20.08
1.600,0.0808,-0.0,0.4396,0.0,-0.2463,5.3294,0,0,0.00,0.00,20.07
1.620,0.0751,-0.0,0.4315,0.0,-0.2325,5.3320,0,0,0.00,0.00,20.07
1.640,0.0751,-0.0,0.4315,0.0,-0.2325,5.3320,0,0,0.00,0.00,20.06
1.660,0.0970,-0.0,0.4282,0.0,-0.2171,5.3280,0,0,0.00,0.00,20.07
1.680,0.0970,-0.0,0.4282,0.0,-0.2171,5.3280,0,0,0.00,0.00,20.07
1.700,0.0970,-0.0,0.4282,0.0,-0.2171,5.3280,0,0,0.00,0.00,20.07
1.720,0.1177,-0.0,0.4317,0.0,-0.2243,5.3268,1,0,0.00,0.00,20.07
1.740,0.1177,-0.0,0.4317,0.0,-0.2243,5.3268,2,0,0.00,0.00,20.06
1.760,0.1326,-0.0,0.4272,0.0,-0.2187,5.3347,0,0,0.00,0.00,20.09
1.780,0.1326,-0.0,0.4272,0.0,-0.2187,5.3347,0,0,0.00,0.00,20.07
1.800,0.1326,-0.0,0.4272,0.0,-0.2187,5.3347,0,0,0.00,0.00,20.09
1.820,0.1119,-0.0,0.4237,0.0,-0.2256,5.3333,-2,0,0.00,0.00,20.08
1.840,0.1119,-0.0,0.4237,0.0,-0.2256,5.3333,-2,0,0.00,0.00,20.06
1.860,0.0670,-0.0,0.4372,0.0,-0.2325,5.3320,-1,0,0.00,0.00,20.09
1.880,0.0670,-0.0,0.4372,0.0,-0.2325,5.3320,0,0,0.00,0.00,20.08
1.900,0.0670,-0.0,0.4372,0.0,-0.2325,5.3320,0,0,0.00,0.00,20.09
1.920,0.0452,-0.0,0.4406,0.0,-0.2325,5.3320,0,0,0.00,0.00,20.06
1.940,0.0452,-0.0,0.4406,0.0,-0.2325,5.3320,0,0,0.00,0.00,20.06
1.960,0.0475,-0.0,0.4268,0.0,-0.2329,5.3321,0,0,0.00,0.00,20.09
1.980,0.0475,-0.0,0.4268,0.0,-0.2329,5.3321,0,0,0.00,0.00,20.08
2.000,0.0475,-0.0,0.4268,0.0,-0.2329,5.3321,0,0,0.00,0.00,20.07
2.020,0.0601,-0.0,0.4361,0.0,-0.2329,5.3321,0,0,0.00,0.00,20.06
2.040,0.0601,-0.0,0.4361,0.0,-0.2329,5.3321,0,0,0.00,0.00,20.07
2.060,0.0946,-0.0,0.4420,0.0,-0.2260,5.3334,2,0,0.00,0.00,20.08
2.080,0.0946,-0.0,0.4420,0.0,-0.2260,5.3334,0,0,0.00,0.00,20.07
2.100,0.0946,-0.0,0.4420,0.0,-0.2260,5.3334,0,0,0.00,0.00,20.09
2.120,0.1050,-0.0,0.4225,0.0,-0.2247,5.3265,0,0,0.00,0.00,20.18
2.140,0.1050,-0.0,0.4225,0.0,-0.2247,5.3265,0,0,0.00,0.00,20.07
2.160,0.0913,-0.0,0.4201,0.0,-0.2230,5.3196,0,0,0.00,0.00,20.08
2.180,0.0913,-0.0,0.4201,0.0,-0.2230,5.3196,0,0,0.00,0.00,20.09
2.200,0.0913,-0.0,0.4201,0.0,-0.2230,5.3196,0,0,0.00,0.00,20.09
2.220,0.0808,-0.0,0.4396,0.0,-0.2302,5.3183,0,0,0.00,0.00,20.18
2.240,0.0808,-0.0,0.4396,0.0,-0.2302,5.3183,0,0,0.00,0.00,20.07
2.260,0.0682,-0.0,0.4304,0.0,-0.2371,5.3170,0,0,0.00,0.00,20.09
2.280,0.0682,-0.0,0.4304,0.0,-0.2371,5.3170,0,0,0.00,0.00,20.07
2.300,0.0682,-0.0,0.4304,0.0,-0.2371,5.3170,0,0,0.00,0.00,20.08
2.320,0.0694,-0.0,0.4235,0.0,-0.2384,5.3239,0,0,0.00,0.00,20.07
2.340,0.0694,-0.0,0.4235,0.0,-0.2384,5.3239,0,0,0.00,0.00,20.07
2.360,0.0806,-0.0,0.4822,0.0,-0.2269,5.3761,0,0,0.00,0.00,20.09
2.380,0.0806,-0.0,0.4822,0.0,-0.2269,5.3761,0,0,0.00,0.00,20.07
2.400,0.0806,-0.0,0.4822,0.0,-0.2269,5.3761,0,0,0.00,0.00,20.07
2.420,0.0883,-0.0,0.5615,224.6,-0.2213,5.4198,1,0,0.00,0.00,20.07
2.440,0.0883,-0.0,0.5615,224.6,-0.2213,5.4198,0,0,0.00,0.00,20.07
2.460,0.1114,-0.0,0.5513,220.5,-0.2144,5.4211,0,115,0.00,0.00,20.07
2.480,0.1114,-0.0,0.5513,220.5,-0.2144,5.4211,0,129,0.00,0.00,20.08
2.500,0.1114,-0.0,0.5513,220.5,-0.2144,5.4211,0,143,0.00,2.86,20.07
2.520,0.1219,-0.0,0.4892,0.0,-0.2098,5.4720,0,215,0.00,2.86,20.07
2.540,0.1219,-0.0,0.4892,0.0,-0.2098,5.4720,4,177,0.00,2.86,20.07
2.560,0.1165,-0.0,0.4386,0.0,-0.2206,5.5272,4,23,0.00,5.71,20.07
2.580,0.1165,-0.0,0.4386,0.0,-0.2206,5.5272,3,6,0.00,5.71,20.07
2.600,0.1165,-0.0,0.4386,0.0,-0.2206,5.5272,0,6,0.00,5.71,20.07
2.620,0.0554,-0.0,0.4637,0.0,-0.2532,5.5424,0,0,0.00,5.71,20.07
2.640,0.0554,-0.0,0.4637,0.0,-0.2532,5.5424,-1,0,0.00,5.71,20.07
2.660,-0.0404,-0.0,0.4827,0.0,-0.3394,5.5265,1,0,0.00,5.71,20.07
2.680,-0.0404,-0.0,0.4827,0.0,-0.3394,5.5265,11,0,0.00,5.71,20.07
2.700,-0.0404,-0.0,0.4827,0.0,-0.3394,5.5265,19,0,0.00,5.71,20.08
2.720,-0.1945,-0.0,0.4278,0.0,-0.5182,5.4930,20,0,0.00,5.71,20.21
2.740,-0.1945,-0.0,0.4278,0.0,-0.5182,5.4930,2,0,0.00,5.71,20.07
2.760,-0.4624,-0.0,0.3311,0.0,-0.7974,5.3334,-4,0,0.00,5.71,20.07
2.780,-0.4624,-0.0,0.3311,0.0,-0.7974,5.3334,-20,0,0.00,5.71,20.07
2.800,-0.4624,-0.0,0.3311,0.0,-0.7974,5.3334,-14,0,0.00,5.71,20.08
2.820,-0.7772,388.6,0.0967,0.0,-1.1044,5.0170,-3,0,0.00,5.71,20.08
2.840,-0.7772,388.6,0.0967,0.0,-1.1044,5.0170,-1,0,0.00,5.71,20.08
2.860,-1.0170,508.5,-0.2326,0.0,-1.3871,4.6538,282,0,0.00,5.71,20.07
2.880,-1.0170,508.5,-0.2326,0.0,-1.3871,4.6538,281,3,2.86,5.71,20.08
2.900,-1.0170,508.5,-0.2326,0.0,-1.3871,4.6538,376,5,5.71,5.71,20.07
2.920,-1.2137,606.9,-0.5974,-239.0,-1.6241,4.2841,392,8,5.71,5.71,20.08
2.940,-1.2137,606.9,-0.5974,-239.0,-1.6241,4.2841,451,4,11.43,5.71,20.08
2.960,-1.3032,651.6,-0.9214,-368.5,-1.9010,3.8838,546,-135,11.43,2.86,20.08
2.980,-1.3032,651.6,-0.9214,-368.5,-1.9010,3.8838,562,-128,17.14,2.86,20.08
3.000,-1.3032,651.6,-0.9214,-368.5,-1.9010,3.8838,598,-243,20.00,2.86,20.08
3.020,-1.2687,634.3,-1.2164,-486.6,-2.2240,3.4809,618,-310,22.86,0.00,20.07
3.040,-1.2687,634.3,-1.2164,-486.6,-2.2240,3.4809,650,-290,28.57,-2.86,20.07
3.060,-1.1221,561.0,-1.4615,-584.6,-2.5530,3.1196,643,-440,28.57,-2.86,20.08
3.080,-1.1221,561.0,-1.4615,-584.6,-2.5530,3.1196,642,-482,34.29,-5.71,20.08
3.100,-1.1221,561.0,-1.4615,-584.6,-2.5530,3.1196,580,-541,37.14,-8.57,20.08
3.120,-0.9659,483.0,-1.6044,-641.8,-2.7602,2.7973,580,-511,40.00,-11.43,20.07
3.140,-0.9659,483.0,-1.6044,-641.8,-2.7602,2.7973,538,-586,42.86,-17.14,20.08
3.160,-0.8165,408.3,-1.6766,-670.6,-2.8538,2.5841,472,-612,45.71,-20.00,20.07
3.180,-0.8165,408.3,-1.6766,-670.6,-2.8538,2.5841,489,-652,48.57,-22.86,20.08
3.200,-0.8165,408.3,-1.6766,-670.6,-2.8538,2.5841,394,-680,51.43,-25.71,20.09
3.220,-0.6639,331.9,-1.6550,-662.0,-2.8560,2.3827,414,-638,54.29,-28.57,20.08
3.240,-0.6639,331.9,-1.6550,-662.0,-2.8560,2.3827,404,-682,57.14,-34.29,20.08
3.260,-0.4752,-0.0,-1.5201,-608.0,-2.9485,2.1326,307,-638,57.14,-37.14,20.08
3.280,-0.4752,-0.0,-1.5201,-608.0,-2.9485,2.1326,317,-667,60.00,-42.86,20.08
3.300,-0.4752,-0.0,-1.5201,-608.0,-2.9485,2.1326,60,-616,60.00,-45.71,20.08
3.320,-0.2026,-0.0,-1.3051,-522.0,-2.8847,1.9457,47,-604,60.00,-48.57,20.08
3.340,-0.2026,-0.0,-1.3051,-522.0,-2.8847,1.9457,41,-621,60.00,-54.29,20.08
3.360,0.1017,-0.0,-1.1054,-442.1,-2.6779,1.6980,34,-528,60.00,-54.29,20.08
3.380,0.1017,-0.0,-1.1054,-442.1,-2.6779,1.6980,31,-549,60.00,-60.00,20.08
3.400,0.1017,-0.0,-1.1054,-442.1,-2.6779,1.6980,24,-434,60.00,-60.00,20.09
3.420,0.3872,-0.0,-1.0374,-415.0,-2.4885,1.3111,14,-463,62.86,-62.86,20.08
3.440,0.3872,-0.0,-1.0374,-415.0,-2.4885,1.3111,1,-464,62.86,-68.57,20.09
3.460,0.6640,-332.0,-1.1493,-459.7,-2.1609,0.9489,0,-416,62.86,-68.57,20.08
3.480,0.6640,-332.0,-1.1493,-459.7,-2.1609,0.9489,0,-372,62.86,-71.43,20.08
3.500,0.6640,-332.0,-1.1493,-459.7,-2.1609,0.9489,-210,-474,60.00,-74.29,20.07
3.520,0.9705,-485.3,-1.3839,-553.6,-1.8461,0.6415,-153,-463,60.00,-77.14,20.08
3.540,0.9705,-485.3,-1.3839,-553.6,-1.8461,0.6415,-177,-441,57.14,-80.00,20.08
3.560,1.2460,-623.0,-1.5677,-627.1,-1.5742,0.3314,-368,-505,57.14,-82.86,20.08
3.580,1.2460,-623.0,-1.5677,-627.1,-1.5742,0.3314,-411,-547,54.29,-85.71,20.08
3.600,1.2460,-623.0,-1.5677,-627.1,-1.5742,0.3314,-522,-599,51.43,-88.57,20.08
3.620,1.3940,-697.0,-1.6834,-673.3,-1.2952,0.0514,-556,-601,48.57,-91.43,20.08
3.640,1.3940,-697.0,-1.6834,-673.3,-1.2952,0.0514,-525,-606,45.71,-97.14,20.08
3.660,1.4085,-704.2,-1.7313,-692.5,-1.0470,-0.2216,-606,-635,42.86,-100.00,20.08
3.680,1.4085,-704.2,-1.7313,-692.5,-1.0470,-0.2216,-626,-680,37.14,-102.86,20.08
3.700,1.4085,-704.2,-1.7313,-692.5,-1.0470,-0.2216,-634,-677,34.29,-105.71,20.07
3.720,1.2295,-614.7,-1.6940,-677.6,-0.8974,-0.3449,-675,-705,31.43,-111.43,20.10
3.740,1.2295,-614.7,-1.6940,-677.6,-0.8974,-0.3449,-719,-679,25.71,-114.29,20.08
3.760,0.9052,-452.6,-1.5619,-624.8,-1.4228,0.2406,-652,-670,22.86,-117.14,20.09
3.780,0.9052,-452.6,-1.5619,-624.8,-1.4228,0.2406,-632,-668,17.14,-122.86,20.09
3.800,0.9052,-452.6,-1.5619,-624.8,-1.4228,0.2406,-512,-637,17.14,-125.71,20.08
3.820,0.5765,-288.2,-1.3666,-546.6,-1.3794,0.2079,-513,-632,14.29,-128.57,20.08
3.840,0.5765,-288.2,-1.3666,-546.6,-1.3794,0.2079,-497,-643,8.57,-134.29,20.08
3.860,0.3053,-0.0,-1.0889,-435.6,-1.4075,0.2377,-288,-581,8.57,-137.14,20.08
3.880,0.3053,-0.0,-1.0889,-435.6,-1.4075,0.2377,-320,-547,5.71,-140.00,20.07
3.900,0.3053,-0.0,-1.0889,-435.6,-1.4075,0.2377,-39,-462,5.71,-142.86,20.07
3.920,0.1176,-0.0,-0.7606,-304.2,-1.0952,-0.1554,-28,-472,5.71,-145.71,20.08
3.940,0.1176,-0.0,-0.7606,-304.2,-1.0952,-0.1554,-1,-395,5.71,-148.57,20.08
3.960,0.0241,-0.0,-0.3653,0.0,-1.0544,-0.2535,10,-333,5.71,-148.57,20.07
3.980,0.0241,-0.0,-0.3653,0.0,-1.0544,-0.2535,17,-339,5.71,-151.43,20.07
4.000,0.0241,-0.0,-0.3653,0.0,-1.0544,-0.2535,19,-77,5.71,-151.43,20.07
4.020,-0.0733,-0.0,0.0506,0.0,-1.0673,-0.2865,9,-83,5.71,-151.43,20.08
4.040,-0.0733,-0.0,0.0506,0.0,-1.0673,-0.2865,5,-39,5.71,-154.29,20.08
4.060,-0.2904,-0.0,0.4587,0.0,-1.1656,-0.1902,1,-25,5.71,-154.29,20.08
4.080,-0.2904,-0.0,0.4587,0.0,-1.1656,-0.1902,-1,-14,5.71,-154.29,20.08
4.100,-0.2904,-0.0,0.4587,0.0,-1.1656,-0.1902,-4,-10,5.71,-154.29,20.08
4.120,-0.6240,312.0,0.8027,321.1,-1.3565,-0.0464,-5,-5,5.71,-154.29,20.07
4.140,-0.6240,312.0,0.8027,321.1,-1.3565,-0.0464,-4,-2,5.71,-154.29,20.08
4.160,-1.0118,505.9,1.0158,406.3,-1.6971,0.1150,181,199,5.71,-151.43,20.07
4.180,-1.0118,505.9,1.0158,406.3,-1.6971,0.1150,170,235,8.57,-151.43,20.07
4.200,-1.0118,505.9,1.0158,406.3,-1.6971,0.1150,420,366,8.57,-148.57,20.07
4.220,-1.3975,698.7,1.1013,440.5,-2.1469,0.3047,377,356,11.43,-148.57,20.08
4.240,-1.3975,698.7,1.1013,440.5,-2.1469,0.3047,453,327,14.29,-145.71,20.07
4.260,-1.7519,876.0,1.1273,450.9,-2.6590,0.4554,655,399,17.14,-142.86,20.07
4.280,-1.7519,876.0,1.1273,450.9,-2.6590,0.4554,571,451,22.86,-140.00,20.07
4.300,-1.7519,876.0,1.1273,450.9,-2.6590,0.4554,749,444,25.71,-137.14,20.07
4.320,-2.0829,1041.5,1.1436,457.4,-3.2347,0.5443,771,431,28.57,-137.14,20.07
4.340,-2.0829,1041.5,1.1436,457.4,-3.2347,0.5443,804,429,37.14,-131.43,20.07
4.360,-2.2939,1147.0,1.1242,449.7,-3.8360,0.6177,964,454,40.00,-131.43,20.07
4.380,-2.2939,1147.0,1.1242,449.7,-3.8360,0.6177,987,427,45.71,-128.57,20.08
4.400,-2.2939,1147.0,1.1242,449.7,-3.8360,0.6177,1098,422,51.43,-125.71,20.07
4.420,-2.3937,1196.8,1.0043,401.7,-4.5137,0.6762,1106,459,57.14,-122.86,20.08
4.440,-2.3937,1196.8,1.0043,401.7,-4.5137,0.6762,1117,474,65.71,-120.00,20.08
4.460,-2.4519,1225.9,0.8129,325.2,-5.2018,0.7456,1185,381,71.43,-117.14,20.08
4.480,-2.4519,1225.9,0.8129,325.2,-5.2018,0.7456,1171,385,80.00,-114.29,20.07
4.500,-2.4519,1225.9,0.8129,325.2,-5.2018,0.7456,1199,364,82.86,-114.29,20.07
4.520,-2.4917,1245.9,0.6040,241.6,-3.4967,0.7669,1201,322,91.43,-111.43,20.07
